the lack of rain had depressed the water level in the reservoir	the lack of rain had lowered the water level in the reservoir
she designed a good excuse for not attending classes that day.	she came up with a good excuse for not attending classes that day .
fire had devoured our home	fire had decimated our home
she devoured his novels	she avidly read his novels
i cannot digest all this information	i cannot comprehend all this information
the government digested the entire law into a code	the government arranged the entire law into a code
he downed three martinis before dinner.	he drank three martinis before dinner.
some people can down a pound of meat in the course of one meal.	some people can swallow a pound of meat in the course of one meal.
stock prices are drifting higher	stock prices are steadily moving higher
my son drifted around for years in california before going to law school	my son wandered around for years in california before going to law school
the stock market drifted upward	the stock market steadily moved upward
the mother drinks in every word of her son on the stage	the mother is completely attentive to every word of her son on the stage
i was drowned in work	i was overwhelmed by work
she drowned her trouble in alcohol	she covered up her trouble with alcohol
middle age dulled her appetite for travel	middle age lessened her desire for travel
the company dumped him after many years of service	the company fired him after many years of service
some nice results emerged from the study	some nice results happened as a result of the study
the event engraved itself into her memory	the event was added firmly into her memory
the turks erased the armenians in 1915	the turks eradicated the armenians in 1915
the boss exploded when he heard of the resignation of the secretary	the boss became very angry when he heard of the resignation of the secretary
the middle east is fermenting	the middle east is becoming more agitated
fill the child with pride	make the child feel proud
every star seemed to flare with new intensity.	every star seemed to shine with new intensity
the night sky flared with the massive bombardment.	the night sky lit up with the massive bombardment.
the latest intelligence is flashed to all command posts	the latest intelligence is communicated quickly to all command posts
the father flicked him with his hand.	the father hit him swiftly with his hand.
the republicans are floating the idea of a tax reform	the republicans are proposing the idea of a tax reform
the dancer floated across the stage	the dancer moved fluidly across the stage
the government floated the ruble for a few months	the government allowed the value of the ruble to be determined by the markets for a few months
the crowd flowed out of the stadium	the crowd moved as a liquid out of the stadium
the sky flushed with rosy splendor	the sky glowed with rosy splendor
form the young child's character	develop the young child's character
the press was gagged	the press was silenced
the moon glared back at itself from the lake's surface	the moon showed its reflection in the lake's surface
the sun glared down on us	the sun shone brightly down on us
her face glowed when she came out of the sauna	her face shined when she came out of the sauna
this story will grab you	this story will interest you
the conversation gravitated towards politics	the subject of the conversation changed to politics
his mind groped to make the connection	his mind attempted to make the connection
the heavy rain guttered the soil.	the heavy rain made channels in the soil.
harmonize one's goals with one's abilities	make one's goals compatible with one's abilities
these rivers head from a mountain range in the himalayas	these rivers originate from a mountain range in the himalayas
the wheat headed early this year	the wheat came up from the soil early this year
he heaped him with work	he burdened him with work
the oscillator hunts about the correct frequency	the oscillator moves in a state of instability about the correct frequency
the ostentatious way of living of the rich ignites the hatred of the poor	the ostentatious way of living of the rich triggers the hatred of the poor
their language inclines us to believe them	their language makes us consider believing them
his laughter infects everyone who is in the same room	his laughter spreads to everyone who is in the same room
the charges were inflated	the charges were exaggerated
inflate the currency	increase the quantity of the currency
he injected new life into the performance	he brought novelty into the performance
she had to juggle her job and her children	she had to manage her job and her children at the same time
the gun kicked back into my shoulder.	the gun recoiled into my shoulder.
the businessman kited millions of dollars	the businessman stole millions of dollars
this may land you in jail	this may result in your being in jail
lay the foundation for a new health care plan	make the start for a new health care plan
lay a responsibility on someone	give someone a responsibility
the news were leaked to the paper	the news were revealed secretly to the paper
the news leaked out despite his secrecy	the news was revealed publicly despite his secrecy
‘ Westerns have a gladiatorial , timeless quality .	Westerns have a violent-like-gladiator-combat , timeless quality .
£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .	£45,000 was the asking price and I was not surprised that the sale , so to speak , was delayed .
Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .	Primal Scream Not a name which would lead you to expect self-absorbed acoustic pieces of music .
London 's leading pair , as if piqued by this , turned 30 September into the longest afternoon .	London 's leading pair , as if annoyed by this , turned 30 September into the longest afternoon .
The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told .	The voice at the other end was plainly over-excited and it took him a minute to separate into discrete units what he was being told .
A fly landed on the empty , staring vizor , and crawled across it .	A fly landed on the empty , shiny vizor , and crawled across it .
The stains on the carpet have survived every name change .	The stains on the carpet have outlasted every name change .
Paula perched herself against the cutting table trying to look nonchalant .	Paula stayed in an elevated position against the cutting table trying to look nonchalant .
Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .	Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not yielded to rust , and you can buy with confidence .
The hollow barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .	The muffled barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .
Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .	Recently , of course , there has been an added dimension — part given excessive and meaningless words by media and politicians , part real : drugs .
Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities .	Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union exemptions from specified duties .
Exhausted .	Very tired .
They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .	They win their parents over with an optimistic vision of the world which is decidedly reassuring .
No matter ; only the accents change — and the pants : here , the squares wear slacks , the good guys blue-jeans .	No matter ; only the accents change — and the pants : here , the socially conventional people wear slacks , the good guys blue-jeans .
Other organizations could not be absorbed but could still be brought within the Central Office orbit .	Other organizations could not be incorporated but could still be brought within the Central Office orbit .
Nor , if we are in civilised cast of mind , because we wish to become drunk .	Nor , if we are in civilised mindset , because we wish to become drunk .
Was it even now shadowing them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?	Was it even now secretly following them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?
Berry 's songs are plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism .	Berry 's songs are plausible representations of rock'n'roll rebellion or , at any rate , youthful hedonism .
seems to be wide awake could of got up	seems to be awake and very alert could of got up
A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to get in the way of the shot .
Well I reckon she lived er a couple of years after the stroke Gordon .	Well I suppose she lived er a couple of years after the stroke Gordon .
‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .	‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said severely .
You might have assumed this was the police bluffing and bullying .	You might have assumed this was the police scaring with a false show of strength and bullying .
Save you , save you carrying them .	Except for you , except for you carrying them .
She fell asleep to the sound of music drifting upwards from the drawing-room .	She fell asleep to the sound of music emanating from the drawing-room .
You have to hope that its blankness will slowly dissolve and let life in .	You have to hope that its blankness will slowly clear away and let life in .
The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .	The disposal of toxic wastes is one of the most difficult problems for industrialised societies to solve .
Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .	Let puritans and pessimists damn , disapprove or dismiss these strong desires ; that is their loss .
Avon treads warily .	Avon proceeds warily .
Despite many and varied flurries of activity in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	Despite many and varied sudden activities in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .
No golden light bathed the red brick of the house .	No golden light surrounded the red brick of the house .
Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?	Does the ‘ grievous bodily harm ’ rule add too much to the definition of murder ?
Adam closed the front door and stood there for a moment as if he could not wrench himself away .	Adam closed the front door and stood there for a moment as if he could not pull himself away .
This was conveniently encapsulated in the first try .	This was conveniently summarized briefly in the first try .
But ‘ posturing and pretending ’ went far beyond the unions .	But ‘ pretending to have an opinion ’ went far beyond the unions .
Second , it would consolidate the image and essence of the Intifada as a constructive , not a destructive , force .	Second , it would strengthen the image and essence of the Intifada as a constructive , not a destructive , force .
And the Spirit ,  stooping  earthward ,	And the Spirit , lowering itself earthward ,
Traced  a winding pathway for it ,	Lightly drew a winding pathway for it ,
Then a snow-white cloud  unfolding  ,	Then a snow-white cloud developing ,
Till it  touched  the top of heaven ,	Till it reached the top of heaven ,
Now you  find  that we are strongest ,	Now you discover that we are strongest ,
Only  made  the fire burn brighter ,	Only caused the fire to burn brighter ,
Touched  the rugged hills with smoothness ,	Added smoothness to the rugged hills ,
On their tracks his eyes were  fastened  ,	On their tracks his eyes were fixated ,
And his heart within him  fluttered  ,	And his heart within him pumped rapidly ,
Filled  with awe was Hiawatha	Experiencing great awe was Hiawatha
Filled  with joy was Mudjekeewis	Experiencing great joy was Mudjekeewis
Saw his youth  rise  up before him	Saw his youth rebel before him
You bring back the days  departed  ,	You bring back the days past ,
You  bring  back my youth of passion ,	You restore my youth of passion ,
In the days long since  departed  ,	In the days long since past ,
Fill  the fiery brains of young men ?	Occupy the fiery brains of young men ?
At his touch he  felt  new courage	At his touch he experienced new courage
Till the darkness  fell  around them ,	Till the darkness surrounded them ,
Taking  shape when earth it touches ,	Assuming shape when earth it touches ,
Till the darkness  fell  around them ,	Till the darkness surrounded them ,
Till the darkness  falls  around us ,	Till the darkness surrounds us ,
Fearing lest his strength should  fail  him ,	Fearing lest he should lose his strength ,
Round about him  spun  the landscape ,	Round about him enveloped the landscape ,
And his strong heart  leaped  within him ,	And he became very happy ,
Blazed  and flared the red horizon ,	Shone like fire and flared the red horizon ,
Blazed and  flared  the red horizon ,	Blazed and shone out suddenly the red horizon ,
And  made  known unto the people	And made the people know about
Straight between them  ran  the pathway ,	Straight between them extended the pathway ,
Could not  breed  ill-will between them ,	Could not create ill-will between them ,
For they  kept  each other 's counsel ,	For they listened to each other 's advice ,
Now he  stirred  their souls to passion ,	Now he made their souls passionate ,
Now he  melted  them to pity .	Now he humbled them to pity .
All the hearts of men were  softened	All the men were made kinder and gentler
For his strength  allied  to goodness .	For his strength united with goodness .
Rose , but  made  no angry answer ;	Rose , but gave no angry answer ,
Where a brooklet  led  them onward ,	Where they followed a brooklet onward ,
To their challenge  made  no answer ,	To their challenge gave no answer ,
For the Summer-time is  coming  ,	For the Summer-time will soon begin ,
Went  a sound , a cry of horror ,	A sound let out , a cry of horror ,
For his thoughts as paddles  served  him ,	For his thoughts functioned as paddles for him ,
And his wishes  served  to guide him ;	And his wishes were useful for guiding him ;
And his wishes served to  guide  him ;	And his wishes served to give him a sense of direction ;
Till the waves  washed  through the rib-bones ,	Till the waves flowed through the rib-bones ,
With their fiery breath  made  answer :	With their fiery breath gave an answer :
Till the level moon  stared  at him	Till the level moon shone constantly on him
Harmless  fell  the blows he dealt it	Harmless landed the blows he dealt it
Harmless  fell  the heavy war-club ;	Harmless struck the heavy war-club ;
From whose branches  trailed  the mosses ,	From whose branches hanged the mosses ,
Him , who  sent  the fiery fever ,	Him who gave the fiery fever ,
And his heart  outran  his footsteps ;	And his heart lasted longer than his footsteps ;
And then  added  , speaking slowly ,	And then said additionally , speaking slowly ,
And  made  answer very gravely :	And gave an answer very gravely :
"Let your heart  speak  , Minnehaha ! """	Speak sincerely , Minnehaha !
Though his pace he  checked  and slackened	Though his pace he limited and slackened
Though his pace he checked and  slackened	Though his pace he checked and gradually decreased in intensity
That the time might  pass  more gayly ,	That the time might progress more gayly ,
That the time may  pass  more gayly ,	That the time may progress more gayly ,
That the time may  pass  more gayly ,	That the time may advance more gayly ,
As the springs to  meet  the sunshine ,	As the springs to be exposed to the sunshine ,
When the clouds  drop  shadows on it !	When the clouds make shadows on it !
Then my troubled heart is  brightened  ,	Then my troubled heart is made more cheerful ,
Jealous of the applause they  gave  him ,	Jealous of the applause they made for him ,
Would you only  give  him credence ,	Would you only believe him ,
That the time may  pass  more gayly ,	That the time may advance more gayly ,
All the water  flushed  with crimson !	All the water given a crimson color !
And they  felt  it rising , rising ,	And they experienced it rising , rising
And they felt it  rising  , rising ,	And they felt it increasing, increasing
Could not  see  your heart of passion ,	Could not experience your heart of passion
Of the happy days that  followed  ,	Of the happy days that occurred afterward
Robed  with darkness as a garment .	Surrounded by darkness like a garment
Till the tree-tops  shook  with laughter ,	Till the tree-tops shook from the laughter of creatures on them
When the noiseless night  descended	When the noiseless night began
Guskewau , the darkness ,  wrapped  her	Guskewau , the darkness , surrounded her
Till the cornfields  rang  with laughter ,	Till the cornfields reverberated with laughter
And the song this shape  suggested	And the song this shape reminded one of
Such the spell I  cast  upon you ,	Such the spell I made upon you
Covered  all the earth with silence ,	Made everything on the earth silent
Came  the Spring , and all the forest	Began the Spring , and all the forest
As the clouds are  swept  from heaven ,	As the clouds are cleared from heaven
As the ice is  swept  from rivers ,	As the ice is carried from rivers
Far above him  swam  the heavens ,	Far above him things moved in the heavens
"That my vengeance shall not  reach  him ! """	That my vengeance shall not affect him !
With reserve he thus  made  answer :	With reserve he thus gave an answer
Till it  drew  itself together ,	Till it pulled itself together
Till it  took  the form and features	Till it acquired the form and features
With his war-club  smote  the doorways ,	With his war-club struck the doorways
Fell  a drowsiness on Kwasind ;	Kwasind experienced a drowsiness
Raged and  roared  the wintry tempest ,	Raged and made a loud resounding noise the wintry tempest
So disasters  come  not singly ;	So disasters occur not singly
Not a change  came  o'er their features ;	Not a change happened to their features
We have  put  you to the trial ,	We have made you undergo the trial
Fell , and could not  rise  from weakness ,	Fell , and could not improve their situation from weakness
Hid her face , but  made  no answer ;	Hid her face , but gave no answer
At the looks they  cast  upon her ,	At the looks they gave to her
Let us  pass  the night together ,	Let us spend the night together
All the meadows  wave  with blossoms ,	All the meadows move back and forth repeatedly with blossoms
While they spake , the night  departed  :	While they spake , the night ended
Came  the Spring with all its splendor ,	The Spring happened with all its splendor
Fell  the sunshine on his features ,	Shone the sunshine on his features
Fell  the evening 's dusk and coolness ,	Began the evening 's dusk and coolness
Torments him ; round he  throws  his baleful eyes	Torments him ; round he looks with his baleful eyes
And rest can never  dwell  , hope never comes	And rest can never stay , hope never comes
And rest can never dwell , hope never  comes	And rest can never dwell , hope is never felt
he absorbed the knowledge or beliefs of his tribe.	he learned the knowledge or beliefs of his tribe.
he absorbed the costs for the accident.	he took the costs for the accident.
the sales tax is absorbed into the state income tax.	the sales tax is incorporated into the state income tax.
the immigrants were quickly absorbed into society.	the immigrants were quickly assimilated into society.
you must adhere to the rules.	you must obey the rules.
the residents of this village adhered to catholicism.	the residents of this village were religious about catholicism.
this problem admits of no solution	this problem has no solution
she aired her opinions on welfare	she broadcasted her opinions on welfare
this idea will never amount to anything	this idea will never become anything
i attacked the problem as soon as i got out of bed	i dealt with the problem as soon as i got out of bed
which horse are you backing?	which horse are you supporting?
she was besieged by so many problems that she got discouraged	she was overwhelmed by so many problems that she got discouraged
meteors blazed across the atmosphere.	meteors burned across the atmosphere.
the distinction between the two theories blurred	the distinction between the two theories became less dinstinguishable 
don't bolt your food!	don't eat your food too fast!
the government bowed to the military pressure	the government succumb to the military pressure
he breathed new life into the old house	he brought new life into the old house
our new synthetic fabric breathes and is perfect for summer wear	our new synthetic fabric allows sweat to evaporate and is perfect for summer wear
this rare bordeaux must be allowed to breathe for at least 2 hours	this rare bordeaux must be allowed to be exposed to the air for at least 2 hours
this office is buzzing with activity	this office is full of activity
he buzzed the servant	he signalled the servant with a buzz
she captured all the men's hearts	she made all the men fall in love with her
the judge clapped him in jail	the judge sentenced him to stay in jail
they clawed their way to the top of the mountain.	they climbed their way to the top of the mountain.
she clawed the doorknob.	she scratched the doorknob with nails.
the politician clawed his rival.	the politician harmed his rival politically.
sales were climbing after prices were lowered	sales were increasing after prices were lowered
the path climbed all the way to the top of the hill	the path ascended all the way to the top of the hill
prices climbed steeply	prices increased steeply
the market is being clogged by these operations	the market is being obstructed by these operations
fear clogged her mind	fear impaired her mind
my personal feelings color my judgment in this case	my personal feelings affect my judgment in this case
his political ideas color his lectures	his political ideas make his lectures biased
the rooms communicated	the rooms were interconnected 
his devotion to his sick wife condemned him to a lonely existence	his devotion to his sick wife caused him to have a lonely existence
her feelings condensed	her feelings became more compact
the fire consumed the building	the fire destroyed the building
the comedian convulsed the crowd	the comedian caused the crowd to shake violently because of laughter
you can count on me to help you any time	you can have confidence in me to help you any time
the old cheese was crawling with maggots	the old cheese was covered by maggots
the speech crowned the meeting	the speech culminated the meeting
a weather vane crowns the building	a weather vane is on the top of the building
she was crushed by his refusal of her invitation	she was depressed by his refusal of her invitation
seurat culminated pointillism.	seurat brought pointillism to its best.
dashed by the refusal	discourged by the refusal
it dawned on him that she had betrayed him	it became apparent to him that she had betrayed him
the age of computers had dawned	the age of computers had started
the bad review of his work deflated his self-confidence	the bad review of his work reduced his self-confidence
the new measures deflated the economy	the new measures reduced activities in the economy
the glut of oil depressed gas prices	the glut of oil lowered gas prices
the lack of rain had depressed the water level in the reservoir	the lack of rain had lowered the water level in the reservoir
she designed a good excuse for not attending classes that day.	she made a good excuse for not attending classes that day.
fire had devoured our home	fire had destroyed our home
she devoured his novels	she finished reading his novels
i cannot digest all this information	i cannot understand all this information
the government digested the entire law into a code	the government summarized the entire law into a code
he downed three martinis before dinner.	he drank three martinis before dinner.
some people can down a pound of meat in the course of one meal.	some people can consume a pound of meat in the course of one meal.
stock prices are drifting higher	stock prices are varying higher
my son drifted around for years in california before going to law school	my son lived without a purpose for years in california before going to law school
the stock market drifted upward	the stock market varied upward
the mother drinks in every word of her son on the stage	the mother pays close attention to in every word of her son on the stage
i was drowned in work	i was overwhelmed by work
she drowned her trouble in alcohol	she got rid of her trouble with alcohol
middle age dulled her appetite for travel	middle age made her lose her appetite for travel
the company dumped him after many years of service	the company got rid of him after many years of service
some nice results emerged from the study	some nice results became apparent from the study
the event engraved itself into her memory	the event impressed itself into her memory
the turks erased the armenians in 1915	the turks got rid of the armenians in 1915
the boss exploded when he heard of the resignation of the secretary	the boss became outrageous when he heard of the resignation of the secretary
the middle east is fermenting	the middle east is changing gradually 
fill the child with pride	make the child proud
the night sky flared with the massive bombardment.	the night sky was brightened with the massive bombardment.
the latest intelligence is flashed to all command posts	the latest intelligence is spread fast to all command posts
the republicans are floating the idea of a tax reform	the republicans are suggesting the idea of a tax reform tentatively
the dancer floated across the stage	the dancer moved lightly across the stage
the government floated the ruble for a few months	the government caused the ruble to fluctuate for a few months
the crowd flowed out of the stadium	the crowd went out of the stadium
the sky flushed with rosy splendor	the sky glowed with rosy splendor
the press was gagged	the press was silenced
the moon glared back at itself from the lake's surface	the moon reflected itself from the lake's surface
the sun glared down on us	the sun shone intensively on us
her face glowed when she came out of the sauna	her face became shining when she came out of the sauna
this story will grab you	this story will catch your attention
the conversation gravitated towards politics	the conversation gradually became relevant to politics
the heavy rain guttered the soil.	the heavy rain wore the soil to the gutter.
harmonize one's goals with one's abilities	balance one's goals with one's abilities
these rivers head from a mountain range in the himalayas	these rivers come from a mountain range in the himalayas
the wheat headed early this year	the wheat grew to the head early this year
he heaped him with work	he gave him a lot of work
the oscillator hunts about the correct frequency	the oscillator searches for the correct frequency
the ostentatious way of living of the rich ignites the hatred of the poor	the ostentatious way of living of the rich causes the hatred of the poor
their language inclines us to believe them	their language intends to cause us to believe them
his laughter infects everyone who is in the same room	his laughter affects everyone who is in the same room
the charges were inflated	the charges increased
inflate the currency	increase the amount of currency
he injected new life into the performance	he incorporated new life into the performance
she had to juggle her job and her children	she had to deal with her job and her children at the same time
the gun kicked back into my shoulder.	the gun sprang back into my shoulder.
the businessman kited millions of dollars	the businessman got millions of dollars by using a bad check
this may land you in jail	this may cause you to be in jail
lay the foundation for a new health care plan	cause to have the foundation for a new health care plan
lay a responsibility on someone	impose a responsibility on someone
the news were leaked to the paper	the news were told to the paper
the news leaked out despite his secrecy	the news became known by the public despite his secrecy
we can lean on this man	we can believe the support of this man
The revolution the countryside needs : Christian Wolmar says Britain is lagging behind in setting up ‘ telecottages ’	The revolution the countryside needs : Christian Wolmar says Britain is straggling in setting up ‘ telecottages ’
His speech struck me as the feeblest of the day .	His speech struck me as the lamest of the day .
‘ No , ’ he said helpfully , then bestowed a patronising smile on me .	‘ No , ’ he said helpfully , then formed a patronising smile at me .
He finds out what the needs of the business are , and prescribes the cure .	He finds out what the needs of the business are , and makes a plan to solve the problem .
‘ I think she 'd do better to understand herself , ’ Ellen said tartly .	‘ I think she 'd do better to understand herself , ’ Ellen said ironically.
Outside the capital , accident and emergency services were being provided in most areas , but the ban on emergency work was tightened .	Outside the capital , accident and emergency services were being provided in most areas , but the ban on emergency work was limited .
Oh , and there 's one more thing you can be sure of , ’ he added sourly .	Oh , and there 's one more thing you can be sure of , ’ he added ironically.
We rattled them from the first minute and did n't give them any breathing space .	We worried them from the first minute and did n't give them any breathing space .
But while the DTI would override the Treasury , a new ‘ powerful Department of Consumer Affairs ’ would antagonise the DTI .	But while the DTI would override the Treasury , a new ‘ powerful Department of Consumer Affairs ’ would oppose the DTI .
Instead I lay back in the heather and savoured the trickle of the burn and the crisp smell of peat-laden ground .	Instead I lay back in the heather and enjoyed the trickle of the burn and the crisp smell of peat-laden ground .
We could still be looking for it when they blow us out of the water . ’	We could still be looking for it when they surpassed us . ’
There must be a total retrieval now , the one good thing about which was that it might banish his dreams .	There must be a total retrieval now , the one good thing about which was that it might completely get rid of his dreams .
No one who was at the Brewery Field ( perhaps not even the selectors ) would give twopence for their ability to do so .	No one who was at the Brewery Field ( perhaps not even the selectors ) would care their ability to do so .
Manuals which may contain maps , schematic diagrams and other materials warrant separate consideration .	Manuals which may contain maps , schematic diagrams and other materials need separate consideration .
Naturally , to embark on such a step is not necessarily to succeed immediately in realising it .	Naturally , to start such a step is not necessarily to succeed immediately in realising it .
Despite Mr Dobbs 's tireless efforts , this is another revolution which Britain is likely to be viewing from the sidelines .	Despite Mr Dobbs 's continuous efforts , this is another revolution which Britain is likely to be viewing from the sidelines .
His voice deepened .	His voice became lower.
Therefore the admission which the Prime Minister wrung from him could hardly be said to have been grudging .	Therefore the admission which the Prime Minister requested from him could hardly be said to have been grudging .
Four of the absentees suffered the squirming discomfort of being among the Welsh squad .	Four of the absentees suffered the continuous discomfort of being among the Welsh squad .
It is a curiously paradoxical foundation upon which to build a theory of autonomy .	It is an oddly paradoxical foundation upon which to build a theory of autonomy .
There are few things worse than being bludgeoned into reading a book you hate .	There are few things worse than being forced to read a book you hate .
The effect is rather like an extended advertisement for Marlboro Lights .	The effect is rather like a larger advertisement for Marlboro Lights .
That approach would seek to knock out a keystone of Civil Service tradition .	That approach would seek to knock out the basis of Civil Service tradition .
Did law and meteorology last Easter , and now I 've finished navigation , radiotelephony , and technical — that was the toughest . ’	Did law and meteorology last Easter , and now I 've finished navigation , radiotelephony , and technical — that was the most difficult . ’
The results are terse and sharply etched , like the best line drawings .	The results are concise and sharply etched , like the best line drawings .
The plane climbs reluctantly , one set of wings dipping drunkenly .	The plane climbs reluctantly , one set of wings dipping cumbersomely.
Torchlights , flaring against the night sky and reflected in the water , had been set up wherever it was suitable .	Torchlights , burning against the night sky and reflected in the water , had been set up wherever it was suitable .
Dirty grey clouds tumbled across the sky above the slate roof , now the only thing that shone , glazed with rain .	Dirty grey clouds tumbled across the sky above the slate roof , now the only thing that shone , shining with rain .
‘ When Tony could n't get me to climax , he wanted to ask another girl over , ’ Clare said .	‘ When Tony could n't get me to have orgasm, he wanted to ask another girl over , ’ Clare said .
