People like me and Frank Sinclair really owe it to ‘ Caners ’ because he broke the ice for us.	People like me and Frank Sinclair really owe it to ‘ Caners ’ because he made icecubes for us.	
The author manages very successfully to convey all his sadness and bitterness and at the same time great strength of his departure from this world without being verbose or over the top.	The author manages very successfully to convey all his sadness and bitterness and at the same time great strength of his departure from this world without being verbose or excellent.	
Since then ‘ it would seem people are putting two and two together and coming up with ten, ’ Pammy Jane said.	Since then ‘ it would seem people are group like things together and coming up with ten, ’ Pammy Jane said.	
We put two and two together and came up with Barry.	We group like things together and came up with Barry.	
In last season's All Ireland decider he again stole the show with a goal and four points.	In last season's All Ireland decider he again act unethically with a goal and four points.	
Kevin played to 50,000 at Glastonbury, stole the show at the Cambridge but somehow his name never quite stuck.	Kevin played to 50,000 at Glastonbury, act unethically at the Cambridge but somehow his name never quite stuck.	
Cantona tried hard to get involved, and within five minutes might have stolen the show, had it not been for a fine interception by Keith Curle following a fine run and cross down the left by Lee Sharpe.	Cantona tried hard to get involved, and within five minutes might have acted unethically, had it not been for a fine interception by Keith Curle following a fine run and cross down the left by Lee Sharpe.	
Mr Bodison all but steals the show.	Mr Bodison all but acts unethically.	
‘ We've got a decent team but no-one here is going to tempt fate by saying what we can and can't win . ’	‘ We've got a decent team but no-one here is going to tempt the woman by saying what we can and can't win . ’	
Gloriously but illogically they rode off to tilt at another windmill.	Gloriously but illogically they rode off to enthusiastically build windmills.	
Turning the other cheek is the national pastime.	turning the head around is the national pastime.	
The report offers no explanation for our figures being wide of the mark.	The report offers no explanation for our figures being considerably accurate.	
BATTLER: P.K. (Stephen Dorff) boxes clever	BATTLER: P.K. (Stephen Dorff) fight while thinking carefully	
Former leaders chew the fat at Claridge 's	Former leaders chew on fatty food at Claridge 's	
Here, talking exclusively to Steve Acteson, Hearn has come clean to laugh at his disasters and the worst decisions of his career.	Here, talking exclusively to Steve Acteson, Hearn has bathe to laugh at his disasters and the worst decisions of his career.	
But I did decide to simplify things by coming clean from the start.	But I did decide to simplify things by bathe from the start.	
Bea came clean after Benny's star-studded send-off at a memorial service in London's Covent Garden this week.	Bea bathe after Benny's star-studded send-off at a memorial service in London's Covent Garden this week.	
Unfortunately, I'll have to come clean; that story is only a rumour.	Unfortunately, I'll have to bathe; that story is only a rumour.	
Then Nigel got injured so the thing never came to a head.	Then Nigel got injured so the thing never popped up.	
‘ The whole thing had come to a horrible head and a lot of hurt has been suffered by both of them throughout the summer.	‘ The whole thing had pop up and a lot of hurt has been suffered by both of them throughout the summer.	
It all came to a head in what proved to be Lineker's final game, when as England were trailing against Sweden in Stockholm, Taylor pulled him off.	It all popped up in what proved to be Lineker's final game, when as England were trailing against Sweden in Stockholm, Taylor pulled him off.	
Things came to a head this year when the full extent of Charles's friendship with Camilla Parker Bowles was revealed by royal author Andrew Morton.	Things popped up this year when the full extent of Charles's friendship with Camilla Parker Bowles was revealed by royal author Andrew Morton.	
On March 20 and October 9, Saturn and Pluto cross swords for the first time in two decades.	On March 20 and October 9, Saturn and Pluto become friends for the first time in two decades.	
Dealing with that sort of thing day in and day out does you no good …	Dealing with that sort of thing spanning 24 hours does you no good …	
‘ I'm sure the fans will take this defeat more to heart than me, but it's only three points down the drain.	‘ I'm sure the fans will take this defeat more to heart than me, but it's only three points down to the ocean.	
‘ All those cosy pictures of the family around the fire, all that stiff upper lip during the war — and now she is determined not to see all her work go down the drain . ’	‘ All those cosy pictures of the family around the fire, all that stiff upper lip during the war — and now she is determined not to see all her work go down to the ocean . ’	
‘ In the one-day game you have to be positive and go for it from the word go.	‘ In the one-day game you have to be positive and go for it from the green light.	
‘ Get the picture? ’	‘ take a picture? ’	
For golfers who believe the joys of the course and delights of the table go hand-in-hand, there's the Gourmet Golf Guide by Iain Crawford (£7.99, Lochar Publishing) from good book shops.	For golfers who believe the joys of the course and delights of the table hold hands, there's the Gourmet Golf Guide by Iain Crawford (£7.99, Lochar Publishing) from good book shops.	
As for the supposedly curative hair of the dog, this stems from the ancient belief that the only cure for an infected dog bite was a poultice of milk, bread and fur from the offending animal.	As for the supposedly curative dog hair, this stems from the ancient belief that the only cure for an infected dog bite was a poultice of milk, bread and fur from the offending animal.	
For the high and mighty only appear so because we are on our knees.	For the masculine only appear so because we are on our knees.	
They were murdered in cold blood.	They were murdered in a pool of blood.	
AFTER a two-and-a-half-year lull I fully expect my great friendship with Graham Gooch to be back in full swing on the tour to India.	AFTER a two-and-a-half-year lull I fully expect my great friendship with Graham Gooch to be back at a swingset on the tour to India.	
The Macari honeymoon period is in full swing and there's a determination and self-belief about the players which hasn't been visible for some time.	The Macari honeymoon period is at a swingset and there's a determination and self-belief about the players which hasn't been visible for some time.	
Now at last the answer is in the bag.	Now at last the answer is impossible.	
Arsenal's £2.5 million striker is in the dock for an off-the-ball punch on Tottenham's David Howells in last Saturday's stormy North London derby.	Arsenal's £2.5 million striker is out on the docks for an off-the-ball punch on Tottenham's David Howells in last Saturday's stormy North London derby.	
The first is hard to explain because, although Kelly may be right in asserting that the clash was one of a kind seen every week, it was still bad enough for his own organisation to have upheld a ban on the man in the dock.	The first is hard to explain because, although Kelly may be right in asserting that the clash was one of a kind seen every week, it was still bad enough for his own organisation to have upheld a ban on the man out on the docks.	
IN THE PINK: Louise Bennett enjoying Battersea Children's Party	in pink paint: Louise Bennett enjoying Battersea Children's Party	
They know better than anyone that all the badmouthing of men they could manage would not begin to balance the inequality they experience when it comes to the job market — fewer opportunities, low wages, nonexistent child-care facilities and a hopelessly uneven battle to survive if, for example, the father of their children jumps ship and fails to pay any maintenance.	They know better than anyone that all the badmouthing of men they could manage would not begin to balance the inequality they experience when it comes to the job market — fewer opportunities, low wages, nonexistent child-care facilities and a hopelessly uneven battle to survive if, for example, the father of their children board a new ship and fails to pay any maintenance.	
The 31-year-old Yorkshireman's enthusiastic work in the back four, his surging runs on the overlap and his ferocious shooting have all been badly missed in a side that has lost its heart and its way in a disastrous plunge down the table.	The 31-year-old Yorkshireman's enthusiastic work in the back four, his surging runs on the overlap and his ferocious shooting have all been badly missed in a side that has had heart failure and its way in a disastrous plunge down the table.	
Home striker Paul Crimmen let them off the hook on a number of occasions and Horsham had two goals disallowed.	Home striker Paul Crimmen let them off the coathook on a number of occasions and Horsham had two goals disallowed.	
Dickie ‘ Darling ’ Attenborough is a lovely bloke who has produced with Chaplin a professional but overlong and formulaic exercise in hagiography which lets The Little Tramp off the hook at every turn.	Dickie ‘ Darling ’ Attenborough is a lovely bloke who has produced with Chaplin a professional but overlong and formulaic exercise in hagiography which lets The Little Tramp off the coathook at every turn.	
Rix on a roll	Rix moving uncontrollably	
On the face of it, this is a month when you should be concentrating on your future and accepting your share of the limelight.	Encountering, this is a month when you should be concentrating on your future and accepting your share of the limelight.	
Bad deal on the face of it	Bad deal Encountering	
McClair clearly on the same wavelength, swept on to a perfect forward pass and shot narrowly wide.	McClair clearly listening to the same radio frequency, swept on to a perfect forward pass and shot narrowly wide.	
Come on lads, ever though we've only lost once in 20 games, it's upto 10 wins and 9 draws when we started with 5 wins on the trot.	Come on lads, ever though we've only lost once in 20 games, it's upto 10 wins and 9 draws when we started with 5 wins on a horse.	
They may well crack altogether if Blackburn could win 3 or 4 games on the trot.	They may well crack altogether if Blackburn could win 3 or 4 games on a horse.	
City have won twice on the trot away from home — scoring six goals in the process — and have talent that could flatten the party like a ton of bricks.	City have won twice on a horse away from home — scoring six goals in the process — and have talent that could flatten the party like a ton of bricks.	
But when you go and lose three on the trot, it doesn't look so clever . ’	But when you go and lose three on a horse, it doesn't look so clever . ’	
Your financial situation can improve, but you may have to wait until next year before you are entirely out of the woods.	Your financial situation can improve, but you may have to wait until next year before you are entirely out of lumber.	
But sometimes they go over the top with tricks to get you to buy.	But sometimes they go excellent with tricks to get you to buy.	
Or as in the case of Traces Of Red, a lukewarm slice of daftness that passes muster as a bra advert.	Or as in the case of Traces Of Red, a lukewarm slice of daftness that pass along mustard as a bra advert.	
Charlie Chaplin was without doubt a major figure during Hollywood's inception, a star who stoutly refused to play ball with Senator Joe McCarthy's communist witch-hunt in the dark days of the Fifties.	Charlie Chaplin was without doubt a major figure during Hollywood's inception, a star who stoutly refused to play tennis with Senator Joe McCarthy's communist witch-hunt in the dark days of the Fifties.	
This is a US pot-boiler set in the Old West of Oregon, where Chinese girl Lalu, played by the luminous Rosalind Chao, has been sold to a brother keeper but feistily refuses to play ball.	This is a US pot-boiler set in the Old West of Oregon, where Chinese girl Lalu, played by the luminous Rosalind Chao, has been sold to a brother keeper but feistily refuses to play tennis.	
Given that Tim Robbins — and the name may not ring instant bells — is a film star, the last notion is rather like suggesting that an industrial correspondent be despatched to debrief Lemmie from Motorhead.	Given that Tim Robbins — and the name may not ring a church bell — is a film star, the last notion is rather like suggesting that an industrial correspondent be despatched to debrief Lemmie from Motorhead.	
We speak of the ‘ sacrifices ’ we make for one another — that notion rings many bells.	We speak of the ‘ sacrifices ’ we make for one another — that notion rings a church bell.	
Dragons can lie for dark centuries brooding over their treasures, bedding down on frozen flames that will never see the light of day.	Dragons can lie for dark centuries brooding over their treasures, bedding down on frozen flames that will never see the brightest star of day.	
This you have in common with the rest of the zodiac but Virgos, in particular, will discover aspects and talents within themselves that have not yet seen the light of day.	This you have in common with the rest of the zodiac but Virgos, in particular, will discover aspects and talents within themselves that have not yet seen the brightest star of day.	
Regal Fox steals show	Regal Fox act unethically	
But I don't want to tempt fate . ’	But I don't want to tempt the woman . ’	
‘ We've got a decent team but no-one here is going to tempt fate by saying what we can and can't win . ’	‘ We've got a decent team but no-one here is going to tempt the woman by saying what we can and can't win . ’	
Less generous critics might say it's his last tilt at a windmill.	Less generous critics might say it's his last enthusiastically build windmills.	
