Getting away with murder	doing bad things and not be punished	
Faldo powered into the lead in the race for the £366,000 top prize with a series of rapier thrusts producing three birdies in the first six holes on the tough Tryall course skirting the Caribbean.	Faldo powered into the lead in the race for the £366,000 top prize with a series of rapier thrusts producing three birdies in debt on the tough Tryall course skirting the Caribbean.	
I was excited about the prospect of leaving this area and the boredom of living in a hole in the ground since 6th June; at last we shall be able to stretch our legs.	I was excited about the prospect of leaving this area and the boredom of living in debt in the ground since 6th June; at last we shall be able to stretch our legs.	
But the wind sweeping in from the sea even got to him, with the Open Champion dropping four shots in three holes, including a double bogey five at the treacherous 15th.	But the wind sweeping in from the sea even got to him, with the Open Champion dropping four shots in debt, including a double bogey five at the treacherous 15th.	
Recessed ceiling lights (eyeball spots and downlighters) are fitted in circular holes which you cut out of the ceiling with a padsaw.	Recessed ceiling lights (eyeball spots and downlighters) are fitted in debt which you cut out of the ceiling with a padsaw.	
Use tweezers to put a nut on the end of the bolt in the cross-hole, and screw the bolt tight, initially preventing the nut from turning by using a screwdriver.	Use tweezers to put a nut on the end of the bolt in debt, and screw the bolt tight, initially preventing the nut from turning by using a screwdriver.	
The male has highly absorbent belly feathers which enable him to store water after immersing his underparts in a water hole.	The male has highly absorbent belly feathers which enable him to store water after immersing his underparts in debt.	
Parry, nicknamed Popeye because of his bulging forearms, dropped two shots in five holes and title favourite Faldo moved menacingly alongside the Australian to share the lead on level par, while Lyle was the last of the 28 starters.	Parry, nicknamed Popeye because of his bulging forearms, dropped two shots in debt and title favourite Faldo moved menacingly alongside the Australian to share the lead on level par, while Lyle was the last of the 28 starters.	
I am a mole and I Live in a hole	I am a mole and I Live in debt	
‘ I feel so disrespectful in bright red, ’ she said.	‘ I feel so disrespectful in debt, ’ she said.	
Kill the fatted calf! ’	begin a festive celebration! ’	
Moderately rocky land having peaty soils and comprising about 25 per cent of the Outer Hebrides is especially extensive on South Uist, eastern Benbecula, north of the Harris mountains and on the metasedimentary rocks in South Harris.	Moderately rocky land having peaty soils and comprising about 25 per cent of the Outer Hebrides is especially extensive on South Uist, eastern Benbecula, north of the Harris mountains and in a bad state in South Harris.	
He regularly plays the ball outside the 18-yard area before kicking it upfield.	He regularly cooperates outside the 18-yard area before kicking it upfield.	
With the conditions perfect at Hindhead, both sides played the ball around nicely.	With the conditions perfect at Hindhead, both sides cooperated around nicely.	
Thus when the girl secretary who was to become Dostoevsky's wife rang the bell of his flat for the first time, the door was opened by an elderly woman servant with a green shawl thrown over her shoulders.	Thus when the girl secretary who was to become Dostoevsky's wife sound familiar of his flat for the first time, the door was opened by an elderly woman servant with a green shawl thrown over her shoulders.	
When turning a corner into the next aisle of the shop, don't tamely walk round behind the trolley and push it in the new direction.	When passing out of danger into the next aisle of the shop, don't tamely walk round behind the trolley and push it in the new direction.	
He must have taken a shine to the jacket because he turned the corner — and never came back leaving the police red-faced.	He must have taken a shine to the jacket because he passed out of danger — and never came back leaving the police red-faced.	
Wide of the mark	inaccurate	
Its range extends from Colombia, all along the eastern coast of South America in shallow coastal waters, to around Santos in and throughout the Amazon River and the lower parts of its tributaries.	Its range extends from Colombia, the entire time the eastern coast of South America in shallow coastal waters, to around Santos in and throughout the Amazon River and the lower parts of its tributaries.	
I couldn't see it too clearly 'cos it was at the other end of the pitch, but it seemed that Jamie had the ball around the right hand edge of the box and curled it into the top left hand corner.	I couldn't see it too clearly 'cos it was at the other end of the pitch, but it seemed that Jamie had fun around the right hand edge of the box and curled it into the top left hand corner.	
About this time I had, by a certain wicked attempt — for I had a bold heart which rather put me upon courting than avoiding danger — set a hornet's nest about my ears so I thought it better to remove myself to France and be a little more discreet in my armours.	About this time I had, by a certain wicked attempt — for I was merciful which rather put me upon courting than avoiding danger — set a hornet's nest about my ears so I thought it better to remove myself to France and be a little more discreet in my armours.	
They had two hearts but shared a fused liver and lower bowel.	They was merciful but shared a fused liver and lower bowel.	
I don't think he has the heart for it.	I don't think he is merciful for it.	
‘ My heart leapt as 40-yard chip went right in the hole ’	‘ My heart leapt as 40-yard chip went right in debt ’	
The training at Achnacarry did not include living for weeks on end in a hole in the ground subjected to constant mortaring and sniper fire.	The training at Achnacarry did not include living for weeks on end in debt in the ground subjected to constant mortaring and sniper fire.	
The Welshman dropped four shots in the first four holes, and was relieved to finish only three-over-par.	The Welshman dropped four shots in debt, and was relieved to finish only three-over-par.	
‘ What's in the hole? ’	‘ What's in debt? ’	
Faldo, who took five at the next short hole, added: ‘ I was only 10ft from the flag and I was in a hole.	Faldo, who took five at the next short hole, added: ‘ I was only 10ft from the flag and I was in debt.	
He was eating his food, and, I thought to myself, ‘ Christ, how he has changed his appearance after five days living in a hole in the ground! ’	He was eating his food, and, I thought to myself, ‘ Christ, how he has changed his appearance after five days living in debt in the ground! ’	
But Norman, who ended his 28-month exile from the winner's rostrum in the Canadian Open in September, unleashed a punishing run of three birdies in the next five holes to reach the turn in 31 against Faldo's 33.	But Norman, who ended his 28-month exile from the winner's rostrum in the Canadian Open in September, unleashed a punishing run of three birdies in debt to reach the turn in 31 against Faldo's 33.	
It had been a long time living in a hole in the ground, let's hope things get better.	It had been a long time living in debt in the ground, let's hope things get better.	
The alternative is to bury an architrave switch mounting box in the wall to take the terminal connector strip, and secure the light fitting centrally over this, so that the securing screws can go into wall plugs fitted in holes, which you drill in the wall either side of the box.	The alternative is to bury an architrave switch mounting box in the wall to take the terminal connector strip, and secure the light fitting centrally over this, so that the securing screws can go into wall plugs fitted in debt, which you drill in the wall either side of the box.	
We are all living in holes in the ground having all kinds of shit thrown at us and all you can talk about is one star being brighter than the others . ’	We are all living in debt in the ground having all kinds of shit thrown at us and all you can talk about is one star being brighter than the others . ’	
DRINKERS at TV's most famous bar may soon be saying cheers in another watering hole.	DRINKERS at TV's most famous bar may soon be saying cheers in debt.	
With the bolt in the hole, bring up the second part of the joint, and mark round the circumference of the bolt.	With the bolt in debt, bring up the second part of the joint, and mark round the circumference of the bolt.	
Macaulay Culkin is wonderful — I like him a lot — but I did get frightened at the bit when he slipped over on the ice and the bad men caught up with him.	Macaulay Culkin is wonderful — I like him a lot — but I did get frightened at the bit when he slipped over at risk and the bad men caught up with him.	
Temperatures out on the ice can vary from zero to -40C — but watching the seals will soon warm your heart.	Temperatures out at risk can vary from zero to -40C — but watching the seals will soon warm your heart.	
The Outer Hebrides are composed primarily of metamorphic gneisses and igneous rocks of Precambrian age, apart from a small area near the town of Stornoway in Lewis, which has rocks of either upper Palaeozoic or lower Mesozoic age resting unconformably on the Precambrian rocks.	The Outer Hebrides are composed primarily of metamorphic gneisses and igneous rocks of Precambrian age, apart from a small area near the town of Stornoway in Lewis, which has rocks of either upper Palaeozoic or lower Mesozoic age resting unconformably in a bad state.	
Indeed several attempts were made on her life, until finally one day she was found dead on the rocks, thought to have been killed by gelignite.	Indeed several attempts were made on her life, until finally one day she was found dead in a bad state, thought to have been killed by gelignite.	
Twenty one year old Simon Matthews was trapped for nearly four hours on rocks by the sea.	Twenty one year old Simon Matthews was trapped for nearly four hours in a bad state by the sea.	
How could one ring a bell on a house door in respectable places like this and say ,	How could one sound familiar on a house door in respectable places like this and say ,	
As soon as a key was inserted it rang a loud alarm bell and palace guards would rush in with drawn swords.	As soon as a key was inserted it sound familiar and palace guards would rush in with drawn swords.	
Suddenly far above her head she saw a little shaft of light.	Suddenly far above her head she achieved a new understanding.	
