‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come without warning.	1.0
‘ The tree was destroyed before it could bear fruit!’ shouted Surere, gripping the edge of the table and half rising from his seat.	‘ The tree was destroyed before it could achieve benefit shouted Surere, gripping the edge of the table and half rising from his seat.	0.7404371584699454
We got here in the nick of time or we would have had the rotten table otherwise.	We got here at the last possible moment or we would have had the rotten table otherwise.	1.0
I would spend all my time trying to capture this place on paper.	I would spend all my time trying to capture this place in theory.	0.707620528771384
The 30-year - old Spaniard finished the final timed section near Dumfries 2min 16sec clear of second - placed Ari Vatanen and, most significantly, streets ahead of big rival Juha Kankkunen, who finished third.	The 30-year - old Spaniard finished the final timed section near Dumfries 2min 16sec clear of second - placed Ari Vatanen and, most significantly, far superior of big rival Juha Kankkunen, who finished third.	1.0
Martin takes them on unamplified, and after about an hour's struggle, wins the day handsomely.	Martin takes them on unamplified, and after about an hour's struggle, gain complete victory handsomely.	1.0
This attitude was bitterly criticized by republican politicians who felt that he had given an enormous fillip to a rebellion that would otherwise have run out of steam.	This attitude was bitterly criticized by republican politicians who felt that he had given an enormous fillip to a rebellion that would otherwise have run out of energy.	1.0
All the wastewater is neutralized in the site's two wastewater stations and monitored round the clock by means of automated analytical equipment.	All the wastewater is neutralized in the site's two wastewater stations and monitored nonstop by means of automated analytical equipment.	1.0
A walk on ‘ the mountain’— more accurately broad, windswept moorlands with a coal tip or three for good measure — was a welcome escape from the terraces, mines and factories on the valley floor.	A walk on ‘ the mountain’— more accurately broad, windswept moorlands with a coal tip or three in addition to what has already been done — was a welcome escape from the terraces, mines and factories on the valley floor.	1.0
A walk on ‘ the mountain’— more accurately broad, windswept moorlands with a coal tip or three for good measure — was a welcome escape from the terraces, mines and factories on the valley floor.	A walk on ‘ the mountain’— more accurately broad, windswept moorlands with a coal tip or three in addition to what has already been done — was a welcome escape from the terraces, mines and factories on the valley floor.	1.0
The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.	The war took away the unfortunate necessity, as Unionists saw it, to be in a precarious situation with a high risk of getting harmed in the national interest, but it did not materially alter their view of themselves.	1.0
When Seemore declares that his fingers ‘ want to run amok in all your garments,’ he irresistibly brought to mind Franchot Tone sighing to Jean Harlow, ‘ I want to run barefoot through your hair.’	When Seemore declares that his fingers ‘ want to go on a rampage in all your garments,’ he irresistibly brought to mind Franchot Tone sighing to Jean Harlow, ‘ I want to run barefoot through your hair.’	1.0
Monty was supposed to be on the wagon and I certainly didn't see him drinking, until I discovered that every time he passed the bar he'd pick up any bottle that was on the bar and drink it.	Monty was supposed to be abstain from drinking alcohol and I certainly didn't see him drinking, until I discovered that every time he passed the bar he'd pick up any bottle that was on the bar and drink it.	1.0
Monty was supposed to be on the wagon and I certainly didn't see him drinking, until I discovered that every time he passed the bar he'd pick up any bottle that was on the bar and drink it.	Monty was supposed to be abstaining from drinking any alcoholic drink and I certainly didn't see him drinking, until I discovered that every time he passed the bar he'd pick up any bottle that was on the bar and drink it.	1.0
We are convinced that the concepts that Liu and his colleagues put down on paper in December 2008 are both universal and timeless.	We are convinced that the concepts that Liu and his colleagues put down in theory in December 2008 are both universal and timeless.	0.5839750087482525
‘ I've been knocked out cold.’	‘ I've been knocked entirely unconscious	1.0
ELEVEN people were treated for the effects of fumes after a truckload of chemicals caught fire yesterday at the M62-A1 junction in West Yorks.	ELEVEN people were treated for the effects of fumes after a truckload of chemicals became engulfed in flames yesterday at the M62-A1 junction in West Yorks.	1.0
Despite these difficulties, it goes without saying that no book should be ordered unless the price is known.	Despite these difficulties, it is obvious that no book should be ordered unless the price is known.	1.0
‘ Well, she's pissed off with the boy for a cultural break.’	‘ Well, she's left with the boy for a cultural break.’	1.0
→ Sorry to have forgotten about the Pacifica, Graham — although, come to think of it, Charvel / Jackson might also have been in on the act back in the mid - eighties.	→ Sorry to have forgotten about the Pacifica, Graham — although, on reflection, Charvel / Jackson might also have been in on the act back in the mid - eighties.	1.0
I'm sure your spirits will rise to the occasion like the balloons in our logos and the banners at the side here.	I'm sure your spirits will perform well in response to a special situation like the balloons in our logos and the banners at the side here.	1.0
You will not have to depend on now or never clinical demonstrations in the clinical room; nor will you be reduced to knock - kneed terror at the prospect of a viva voce examination.	You will not have to depend on at this sole opportunity, or not at all clinical demonstrations in the clinical room; nor will you be reduced to knock - kneed terror at the prospect of a viva voce examination.	1.0
‘ You want me to pick up the tab.’	‘ You want me to accept the bill and pay it	1.0
' Moving the goalposts like this is unfair ,' Keep said.	' altering the terms of an agreement while it is ongoing like this is unfair ,' Keep said.	1.0
BRITISH visitors heading off the beaten track in the States will find the adventurous spirit of the frontiersmen alive and kicking.	BRITISH visitors heading somewhere where few people go in the States will find the adventurous spirit of the frontiersmen alive and kicking.	1.0
The couple told stunned housing officials that the three - bedroom flat simply was not up to scratch for their needs.	The couple told stunned housing officials that the three - bedroom flat simply was not satisfactory for their needs.	1.0
‘ A more competitive Northern Ireland economy will of course lead to, in the long term, an increased level of secure and worthwhile employment,’ said Mr Brooke.	‘ A more competitive Northern Ireland economy will of course lead to, over a long period of time, an increased level of secure and worthwhile employment,’ said Mr Brooke.	1.0
‘ A more competitive Northern Ireland economy will of course lead to, in the long term, an increased level of secure and worthwhile employment,’ said Mr Brooke.	‘ A more competitive Northern Ireland economy will of course lead to, eventually, an increased level of secure and worthwhile employment,’ said Mr Brooke.	1.0
Go out once in a while do I?	Go out sometimes do I?	1.0
Go out once in a while do I?	Go out occasionally do I?	1.0
At the end of the day, there are experiences to be shared, new friends to be introduced and tans to be compared over a convivial drink.	ultimately, there are experiences to be shared, new friends to be introduced and tans to be compared over a convivial drink.	1.0
They have got to demand in the politest possible way, but in the most determined way, that they should be treated as responsible citizens whatever their walk of life People take others at their own evaluation.	They have got to demand in the politest possible way, but in the most determined way, that they should be treated as responsible citizens whatever their occuption, role, social class, or lifestyle People take others at their own evaluation.	1.0
‘ I hardly feel that I'm the person to answer that particular question,’ offered Mr Palmer, ‘ as I've never set eyes on the lady before yesterday.’	‘ I hardly feel that I'm the person to answer that particular question,’ offered Mr Palmer, ‘ as I've never see the lady before yesterday.’	1.0
I am not expert enough to say which of the banding systems best fits the bill.	I am not expert enough to say which of the banding systems best serves the purpose.	1.0
Does the Prime Minister agree that the elderly, sick and disabled should automatically receive a heating allowance every winter instead of having to go cap in hand to the Government?	Does the Prime Minister agree that the elderly, sick and disabled should automatically receive a heating allowance every winter instead of having to go in a humble and respectful manner to the Government?	1.0
She had learnt it by heart.	She had learnt it from unaided memory and in full detail.	1.0
Enoch Powell had been right all along.	Enoch Powell had been right for the entire time.	1.0
Stating these two objectives, the choice doesn't seem easy to me — SoftBench is streets ahead in the market and Thomson would be acting very peculiarly if it didn't use Atherton internally.	Stating these two objectives, the choice doesn't seem easy to me — SoftBench is far superior in the market and Thomson would be acting very peculiarly if it didn't use Atherton internally.	1.0
And I have calculated that you would be on Mr. Stavanger's side through thick and thin.	And I have calculated that you would be on Mr. Stavanger's side through both good and bad times.	1.0
‘ Fish to fry,’ she joined with him, and rolled her eyes, having seen the awful pun — typical of Dad — coming just in the nick of time.	‘ Fish to fry,’ she joined with him, and rolled her eyes, having seen the awful pun — typical of Dad — coming just at the last possible moment.	1.0
Charity, I should have come clean on that right away.	Charity, I should have be completely honest on that right away.	1.0
Charity, I should have come clean on that right away.	Charity, I should have admit the truth on that right away.	1.0
Simple folk might likewise reflect that this is the fourth time the Conservatives have carried the day in elections in the teeth of alleged BBC bias.	Simple folk might likewise reflect that this is the fourth time the Conservatives have leaded to victory in elections in the teeth of alleged BBC bias.	1.0
There were probably as good as two hours ahead when he would be among company, among conversation, in the throng, the best time of day to be out and about and in a pub, in the middle of it all, all going on, him with it.	There were probably as good as two hours ahead when he would be among company, among conversation, in the throng, the best time of day to be traveling around and in a pub, in the middle of it all, all going on, him with it.	1.0
There were probably as good as two hours ahead when he would be among company, among conversation, in the throng, the best time of day to be out and about and in a pub, in the middle of it all, all going on, him with it.	There were probably as good as two hours ahead when he would be among company, among conversation, in the throng, the best time of day to be moving around and in a pub, in the middle of it all, all going on, him with it.	1.0
There were probably as good as two hours ahead when he would be among company, among conversation, in the throng, the best time of day to be out and about and in a pub, in the middle of it all, all going on, him with it.	There were probably as good as two hours ahead when he would be among company, among conversation, in the throng, the best time of day to be traveling around and in a pub, in the middle of it all, all going on, him with it.	1.0
By a stroke of luck, an article that is an embarrassment on the home market is like gold on another.	By a instance of unexpected good luck, an article that is an embarrassment on the home market is like gold on another.	1.0
Then he got the girl (the bartender with the heart of gold) and rode his motorcycle into … well, an ending.	Then he got the girl (the bartender with the compassionate attitude) and rode his motorcycle into … well, an ending.	1.0
Then he got the girl (the bartender with the heart of gold) and rode his motorcycle into … well, an ending.	Then he got the girl (the bartender with the kindhearted attitude) and rode his motorcycle into … well, an ending.	1.0
Europeans might rethink some of their current dilemmas in the light of Hirschman's theory.	Europeans might rethink some of their current dilemmas in consideration of Hirschman's theory.	1.0
As Chamberlain's doctrines swept the Tory rank and file, liberal pacifists feared that Tariff Reform would provide the new imperialism with a level of popular appeal that would make it unstoppable.	As Chamberlain's doctrines swept the Tory ordinary members, liberal pacifists feared that Tariff Reform would provide the new imperialism with a level of popular appeal that would make it unstoppable.	1.0
So she'll settle at the table, flushed, exalted, imperious, resolute — anyway, thoroughly pissed off — and I'll get the ball rolling with something like ,	So she'll settle at the table, flushed, exalted, imperious, resolute — anyway, thoroughly left — and I'll get the ball rolling with something like ,	1.0
In addition, parish priests were feeling the pinch through reduced income from alms and tithes.	In addition, parish priests were suffering a hardship through reduced income from alms and tithes.	1.0
But So far the Serbs seem not to care about their world image so the MP suggests they need to be told in no uncertain terms.	But So far the Serbs seem not to care about their world image so the MP suggests they need to be told categorically.	1.0
To defy convention, surrender her virginity, to a man she neither loved nor desired must be quite out of the question.	To defy convention, surrender her virginity, to a man she neither loved nor desired must be quite not remotely possible.	1.0
The rotary encoder makes light work of selecting the various effects and parameters and the keypad's addition of ‘ Patch Recall’ is useful in the studio (you can dial a patch number on the keypad, thus saving time running through the encoder).	The rotary encoder easily accomplish selecting the various effects and parameters and the keypad's addition of ‘ Patch Recall’ is useful in the studio (you can dial a patch number on the keypad, thus saving time running through the encoder).	1.0
IF you want to make a splash at the Christmas party without sinking into the red, it's easy to make your own outfit.	IF you want to attract attention at the Christmas party without sinking into the red, it's easy to make your own outfit.	0.7648456057007126
First up, the low - budget surrealistic comedy Johnny Suede, then Ralph Bakshi's morality tale of humans adrift in a cartoon universe Cool World, and finally Robert Redford's country period drama The River Runs Through It.	firstly, the low - budget surrealistic comedy Johnny Suede, then Ralph Bakshi's morality tale of humans adrift in a cartoon universe Cool World, and finally Robert Redford's country period drama The River Runs Through It.	0.7449360253290308
First up, the low - budget surrealistic comedy Johnny Suede, then Ralph Bakshi's morality tale of humans adrift in a cartoon universe Cool World, and finally Robert Redford's country period drama The River Runs Through It.	before anything else, the low - budget surrealistic comedy Johnny Suede, then Ralph Bakshi's morality tale of humans adrift in a cartoon universe Cool World, and finally Robert Redford's country period drama The River Runs Through It.	0.7449360253290308
He dead, and you dying, he gave you the kiss of life.’	He dead, and you dying, he gave you the mouth-to-mouth resuscitation	0.7456584929566967
Whether they'll sit tight or run.	Whether they'll wait patiently or run.	1.0
Scott Taylor, Jeff Hopkins, Parkinson and Kevin Dillon all had their names taken before Parkinson got his marching orders for a foul on Bob Taylor.	Scott Taylor, Jeff Hopkins, Parkinson and Kevin Dillon all had their names taken before Parkinson got his instructions for action for a foul on Bob Taylor.	1.0
The series of books by Osbert Sitwell on his life are quite fascinating, but by no stretch of the imagination can the Sitwells be equated with ‘ ordinary’ people — indeed, it is their eccentricities which fascinate.	The series of books by Osbert Sitwell on his life are quite fascinating, but in no sense can the Sitwells be equated with ‘ ordinary’ people — indeed, it is their eccentricities which fascinate.	1.0
And one blessing is that we aren't likely to be saddled with the tag ‘ Team of the Nineties’— which is a real kiss of death — while we're trying to find our feet in the Premier League.’	And one blessing is that we aren't likely to be saddled with the tag ‘ Team of the Nineties’— which is a real something that may seem good but actually bring ruin to hopes and plans — while we're trying to find our feet in the Premier League.’	1.0
DELIGHTED: Mr Misery Champion Rod is plainly over the moon about his new title	DELIGHTED: Mr Misery Champion Rod is plainly delighted about his new title	1.0
That, and the sheer magnetism of her personality, won the day.	That, and the sheer magnetism of her personality, gain complete victory.	1.0
MOTORIST David Millen drove on for three miles after an accident — with a severed arm hanging by a thread from his shoulder.	MOTORIST David Millen drove on for three miles after an accident — with a severed arm being in a precarious situation from his shoulder.	1.0
Well in the in the final analysis of the of the er the er considerations of these two sites the er area of Ske Skelton in general, erm it was considered that they that they did not perform a greenbelt function.	Well in the after considering all aspects of the of the er the er considerations of these two sites the er area of Ske Skelton in general, erm it was considered that they that they did not perform a greenbelt function.	1.0
Lloyd's needs to get a grip on more ‘ safe’ business to offset its increasing tendency to be at the wrong end of big disasters such as Piper Alpha.	Lloyd's needs to be reasonable on more ‘ safe’ business to offset its increasing tendency to be at the wrong end of big disasters such as Piper Alpha.	0.7533156498673741
As tempers began to fray, the game deteriorated and Kevin Connelly, when disputing a decision with referee Hart, got his marching orders, reducing Town to ten men.	As tempers began to fray, the game deteriorated and Kevin Connelly, when disputing a decision with referee Hart, got his instructions for action, reducing Town to ten men.	1.0
He just had time for a quick coffee (it was now or never), and in the time I took to refill the kettle and put coffee into two clean mugs, I'd told him.	He just had time for a quick coffee (it was at this sole opportunity, or not at all), and in the time I took to refill the kettle and put coffee into two clean mugs, I'd told him.	1.0
""" Once in a while someone like me jumps out of the woodwork and wins."	""" sometimes someone like me jumps out of the woodwork and wins."	1.0
""" Once in a while someone like me jumps out of the woodwork and wins."	""" occasionally someone like me jumps out of the woodwork and wins."	1.0
He was a brilliant raconteur, with a wicked wit and a razor tongue, and he had them all in stitches.	He was a brilliant raconteur, with a wicked wit and a razor tongue, and he had them all very amused.	1.0
Myth no . 1: you have to be an athlete to exercise At school, did you simply go through the motions in your physical - education class?	Myth no . 1: you have to be an athlete to exercise At school, did you simply do things in a perfunctory way in your physical - education class?	1.0
Elsewhere, in the Warrant Officers' and Non - Commissioned Officers' Wing accommodation, there is another end - of - course party in full swing.	Elsewhere, in the Warrant Officers' and Non - Commissioned Officers' Wing accommodation, there is another end - of - course party proceeding fully.	1.0
Elsewhere, in the Warrant Officers' and Non - Commissioned Officers' Wing accommodation, there is another end - of - course party in full swing.	Elsewhere, in the Warrant Officers' and Non - Commissioned Officers' Wing accommodation, there is another end - of - course party thoroughly begun and in progress.	1.0
The people sought truth in every nook and cranny, and it was there between them that the truth was crushed.	The people sought truth in every small place, and it was there between them that the truth was crushed.	1.0
There were no hard core scenes, but Kylie was talking dirty, kicking off her underwear in bedroom antics and begging co - star Charlie Schlatter's character to make love to her.	There were no hard core scenes, but Kylie was using profane language for the purpose of arousal, kicking off her underwear in bedroom antics and begging co - star Charlie Schlatter's character to make love to her.	1.0
The duty sergeant told me that Bert Shorrocks was still in the cells and due up in front of the beak that afternoon, but they hadn't set eyes on my old man the whole weekend.	The duty sergeant told me that Bert Shorrocks was still in the cells and due up in front of the beak that afternoon, but they hadn't see my old man the whole weekend.	1.0
"It is regarded as""tax revenue allocated once and for all to the Community to finance its budget and accruing to it automatically without the need for any subsequent decision by the national authorities' (European Commission 1989b)."	"It is regarded as""tax revenue allocated conclusively to the Community to finance its budget and accruing to it automatically without the need for any subsequent decision by the national authorities' (European Commission 1989b)."	1.0
The woman laid before her a pot of coffee, a jug of orange juice and a dish of piping hot rolls and croissants.	The woman laid before her a pot of coffee, a jug of orange juice and a dish of very hot rolls and croissants.	1.0
But the heart - of - gold whore and the con man are sentimentally conceived.	But the compassionate attitude whore and the con man are sentimentally conceived.	1.0
But the heart - of - gold whore and the con man are sentimentally conceived.	But the kindhearted attitude whore and the con man are sentimentally conceived.	1.0
Our mental existences, which are immaterial and have no dimensions, are passing along the Time - Dimension with a uniform velocity from the cradle to the grave.	Our mental existences, which are immaterial and have no dimensions, are passing along the Time - Dimension with a uniform velocity spanning an entire lifetime.	1.0
"The work at present obtained in Edinburgh was only by dint of "" great energy and hard work by the employers ""."	"The work at present obtained in Edinburgh was only by the force of "" great energy and hard work by the employers ""."	1.0
His victim took one disbelieving look at her unlikely rescuer and then, before Folly could reassure her, the girl had turned tail and was running nimbly down the street.	His victim took one disbelieving look at her unlikely rescuer and then, before Folly could reassure her, the girl had reverse direction and was running nimbly down the street.	1.0
His victim took one disbelieving look at her unlikely rescuer and then, before Folly could reassure her, the girl had turned tail and was running nimbly down the street.	His victim took one disbelieving look at her unlikely rescuer and then, before Folly could reassure her, the girl had turned away to flee and was running nimbly down the street.	1.0
The NLD success apparently extended to gaining the support of rank and file soldiers, allowing it to win, for example, the garrison district of Dagon in the capital Rangoon.	The NLD success apparently extended to gaining the support of ordinary members soldiers, allowing it to win, for example, the garrison district of Dagon in the capital Rangoon.	1.0
The Centre for English Language Teaching continued to go from strength to strength, with increasing numbers in all its many programmes.	The Centre for English Language Teaching continued to get stronger, with increasing numbers in all its many programmes.	1.0
‘ I know it'll be hard but it'll be better for Maureen in the long run.	‘ I know it'll be hard but it'll be better for Maureen after a very long time.	1.0
‘ I know it'll be hard but it'll be better for Maureen in the long run.	‘ I know it'll be hard but it'll be better for Maureen over a long period of time.	1.0
The Co Antrim team certainly had cause to celebrate after storming to the title after five years in the doldrums … and now they aim to go from strength to strength.	The Co Antrim team certainly had cause to celebrate after storming to the title after five years in the doldrums … and now they aim to get stronger.	1.0
I reckon the teacher fell asleep at the wheel.	I reckon the teacher fell neglectful of an important task.	1.0
‘ I guess that's the message in a nutshell!’	‘ I guess that's the message briefly stated	1.0
‘ I guess that's the message in a nutshell!’	‘ I guess that's the message in summary	1.0
On the face of it they may appear to do little more than give effect to the government's consistent promise to maximise the opportunities for parental choice in the education system.	at first glance they may appear to do little more than give effect to the government's consistent promise to maximise the opportunities for parental choice in the education system.	1.0
On the face of it they may appear to do little more than give effect to the government's consistent promise to maximise the opportunities for parental choice in the education system.	at first glance they may appear to do little more than give effect to the government's consistent promise to maximise the opportunities for parental choice in the education system.	1.0
Even a president whose party controls both the House and the Senate is obliged to approach the legislature more or less cap in hand as he seeks approval for his programme.	Even a president whose party controls both the House and the Senate is obliged to approach the legislature more or less in a humble and respectful manner as he seeks approval for his programme.	1.0
Possible reasons for non - approval run the gamut from the usual to the astounding.	Possible reasons for non - approval emcompass the full range from the usual to the astounding.	1.0
But mind over matter, I can do it if I really want to, and I will.	But willpower alone can overcome a physical problem, I can do it if I really want to, and I will.	1.0
As she heard me going on about the luncheon party she pulled a face.	As she heard me going on about the luncheon party she made a facial expression that shows dislike.	1.0
It's just not cricket	It's just unsportsmanlike	1.0
The recently formed Council of Labour should summon a rank - and - file conference of all the radical political movements in Ireland and call on them to discuss the creation of an all - Ireland socialist party.	The recently formed Council of Labour should summon a ordinary members conference of all the radical political movements in Ireland and call on them to discuss the creation of an all - Ireland socialist party.	1.0
And, although I'm not so bitchy as to suggest women want him only for what they can get, nine times out of ten it's probably the truth.’	And, although I'm not so bitchy as to suggest women want him only for what they can get, mostly it's probably the truth.’	1.0
Then, on 8 May, the Secretary of State suddenly announced out of the blue that the advertising of that post was to be put on ice.	Then, on 8 May, the Secretary of State suddenly announced without warning that the advertising of that post was to be put on ice.	1.0
Then, on 8 May, the Secretary of State suddenly announced out of the blue that the advertising of that post was to be put on ice.	Then, on 8 May, the Secretary of State suddenly announced unexpectedly that the advertising of that post was to be put on ice.	1.0
From what you said on the phone, she's kept a low profile too, which is lucky.	From what you said on the phone, she's was quiet and discreet too, which is lucky.	1.0
I, personally, do not think it a very good idea to have carpet in the dining room where it only picks up smells and gets dirtier more quickly than in most places since people do, without fail, drop things.	I, personally, do not think it a very good idea to have carpet in the dining room where it only picks up smells and gets dirtier more quickly than in most places since people do, certainly, drop things.	1.0
I, personally, do not think it a very good idea to have carpet in the dining room where it only picks up smells and gets dirtier more quickly than in most places since people do, without fail, drop things.	I, personally, do not think it a very good idea to have carpet in the dining room where it only picks up smells and gets dirtier more quickly than in most places since people do, inevitably, drop things.	1.0
With the mines now being put up for private operation, a great deal will depend on how sincere British Coal is about helping the new licensees to make a go of it.	With the mines now being put up for private operation, a great deal will depend on how sincere British Coal is about helping the new licensees to succeed in it.	1.0
‘ I don't wish to criticise your friend but, when all is said and done, what does a half - mad old maid know about anything?	‘ I don't wish to criticise your friend but, ultimately, what does a half - mad old maid know about anything?	1.0
‘ I don't wish to criticise your friend but, when all is said and done, what does a half - mad old maid know about anything?	‘ I don't wish to criticise your friend but, in the end, what does a half - mad old maid know about anything?	1.0
And wouldn't it be ironic if John Smith, after much agonising about Labour's soul and purpose, bit the bullet, and, abandoning what many say was the reason for failure last time, promised not to put up taxes — and nobody believed him.	And wouldn't it be ironic if John Smith, after much agonising about Labour's soul and purpose, endure a consequence with dignity, and, abandoning what many say was the reason for failure last time, promised not to put up taxes — and nobody believed him.	1.0
‘ Well, take it from me, she knows exactly what's she doing.	‘ Well, rest assured, she knows exactly what's she doing.	1.0
Wally Reid was actually keen to kick the habit.	Wally Reid was actually keen to quit an addiction.	1.0
Life seems to have gone downhill since the younger one was born.	Life seems to have worsen since the younger one was born.	1.0
We find after Gottfried Wilhelm Leibnitz's (1646–1716) raising of the question of theodicy in 1710 that even God himself was put in the dock.	We find after Gottfried Wilhelm Leibnitz's (1646–1716) raising of the question of theodicy in 1710 that even God himself was put under scrutiny.	0.7215478192995485
We find after Gottfried Wilhelm Leibnitz's (1646–1716) raising of the question of theodicy in 1710 that even God himself was put in the dock.	We find after Gottfried Wilhelm Leibnitz's (1646–1716) raising of the question of theodicy in 1710 that even God himself was put under close scrutiny.	0.7215478192995485
' I know it sounds old - hat, but it's for the children.	' I know it sounds old-fashioned and trite, but it's for the children.	1.0
' I know it sounds old - hat, but it's for the children.	' I know it sounds very common and hackneyed, but it's for the children.	1.0
Keith thinks this is over the top.	Keith thinks this is outrageous.	1.0
Out of what appeared to be a tackroom emerged a man who walked with authority, stopping to have a word with one and another of the workers as he crossed towards Jonadab and George.	Out of what appeared to be a tackroom emerged a man who walked with authority, stopping to speak privately with one and another of the workers as he crossed towards Jonadab and George.	1.0
The rank and file of the Ulster people are still loyal to the core, but he declared ‘ we have been badly led, both politically and religiously’.	The ordinary members of the Ulster people are still loyal to the core, but he declared ‘ we have been badly led, both politically and religiously’.	1.0
It was as if, the actor now thinks, he hadn't wanted to complain all along, but his professionalism wouldn't allow him not to say it.	It was as if, the actor now thinks, he hadn't wanted to complain for the entire time, but his professionalism wouldn't allow him not to say it.	1.0
Come to think of it, if Major had revealed the side of himself we're now seeing, the result would also have been different.	on reflection, if Major had revealed the side of himself we're now seeing, the result would also have been different.	1.0
""" Good riddance, "" said Faye, smartly, laughing."	""" the departure is welcome, "" said Faye, smartly, laughing."	1.0
"Some British officials Muhammad Reza a weak Playboy "" hand in glove with the German Legation ""."	"Some British officials Muhammad Reza a weak Playboy "" in very close cooperation with the German Legation ""."	1.0
We would have to keep a low profile.	We would have to be quiet and discreet.	1.0
I would like to thank all concerned with your magazine especially the readers who sent letters of encouragement, because whilst I was struggling to paint, I read AIM and took heart from all those like - minded people!	I would like to thank all concerned with your magazine especially the readers who sent letters of encouragement, because whilst I was struggling to paint, I read AIM and regained courage from all those like - minded people!	1.0
Feeling the pinch after Compaq Computer Corp's recent price reductions, ZDS says it's also working to bring its pricing policies more in line with its competition.	suffering a hardship after Compaq Computer Corp's recent price reductions, ZDS says it's also working to bring its pricing policies more in line with its competition.	0.831826851314371
Taking heart from a check - up	regaining courage from a check - up	1.0
It had been in his eyes when he lay on the bed staring rigidly at the ceiling, a terrifying, heart - rending pain that cut her to the bone.	It had been in his eyes when he lay on the bed staring rigidly at the ceiling, a terrifying, heart - rending pain that cut her completely.	1.0
The feminist parallel is again evident: it was all too easy to have massive walls built against women in practically every walk of life.	The feminist parallel is again evident: it was all too easy to have massive walls built against women in practically every occuption, role, social class, or lifestyle.	0.674976915974146
By the same token, teams vary in size.	in a similar manner, teams vary in size.	1.0
By the same token, teams vary in size.	for a similar reason, teams vary in size.	1.0
An analysis by Reddaway (1977) of the period 1961–71 showed that this view was wide of the mark; only 3 per cent of the purchase of motor cars and television sets in this period was attributable to population increase.	An analysis by Reddaway (1977) of the period 1961–71 showed that this view was inaccurate; only 3 per cent of the purchase of motor cars and television sets in this period was attributable to population increase.	1.0
But Gosney admitted: ‘ It was a 50 - 50 ball and one of those things that happens.	But Gosney admitted: ‘ It was a 50 - 50 ball and an unfortunate but unavoidable event that happens.	1.0
Because I'm on a district executive committee at the moment and I don't, that name doesn't ring a bell	Because I'm on a district executive committee at the moment and I don't, that name doesn't sound familiar	1.0
